décision;motif;siret;nom;code NAF;catégorie juridique;commune
à vérifier;"société déclarée en immobilier (41.10A)";90928462200018;"2n Promotion";41.10A;5710;"Brey-Et-Maison-Du-Bois"
exclue;"organisme public";29250096400013;"Ass Fonciere De Brey Et Maison Du Bois";42.99Z;7323;"Brey-Et-Maison-Du-Bois"
gardée;"";48314468900062;"Charline Roy";86.90E;1000;"Brey-Et-Maison-Du-Bois"
gardée;"";42500117900018;"Claude Villequenault";90.03A;1000;"Brey-Et-Maison-Du-Bois"
exclue;"particulier : location de son logement";53275003100033;"Didier Minniti";68.20A;1000;"Brey-Et-Maison-Du-Bois"
exclue;"société civile immobilière";83790326900012;"Dm Vuez";68.20B;6540;"Brey-Et-Maison-Du-Bois"
exclue;"société civile immobilière";92060649800011;"Du Bief Chaud";68.20B;6540;"Brey-Et-Maison-Du-Bois"
gardée;"";93087601600021;"Elise Malfroy";86.90E;1000;"Brey-Et-Maison-Du-Bois"
gardée;"";40112819400024;"Gaec Des Clochettes Vuez";01.50Z;6533;"Brey-Et-Maison-Du-Bois"
gardée;"";81962294500015;"Gaec Treand";01.41Z;6533;"Brey-Et-Maison-Du-Bois"
gardée;"";53794615400029;"Garage Vuez Dany";45.20A;5499;"Brey-Et-Maison-Du-Bois"
exclue;"particulier producteur d’énergie";93335720400017;"Gerome Jouglet";35.11Z;1000;"Brey-Et-Maison-Du-Bois"
gardée;"";52170285200026;"Godemet Emmanuel";43.39Z;5499;"Brey-Et-Maison-Du-Bois"
à vérifier;"société déclarée en immobilier (68.20B)";45118924500033;"Hauts Doubs Deneigement";68.20B;5499;"Brey-Et-Maison-Du-Bois"
gardée;"";97746854500016;"Heron International";79.12Z;5710;"Brey-Et-Maison-Du-Bois"
gardée;"";90405502700018;"Jacqueline Piot (pontarlier)";02.10Z;1000;"Brey Et Maison Du Bois"
gardée;"";53048380900030;"Kine Du Lac";66.19A;6589;"Brey-Et-Maison-Du-Bois"
exclue;"société civile immobilière";88766471200031;"Lac'Haut-Doubs";68.20B;6540;"Brey-Et-Maison-Du-Bois"
exclue;"société civile immobilière";84363030200019;"Le Depot";68.20B;6540;"Brey-Et-Maison-Du-Bois"
exclue;"société civile immobilière";83802632600010;"Lea";68.20B;6540;"Brey-Et-Maison-Du-Bois"
gardée;"";90203061800026;"Les Bout'Choux";88.91A;5710;"Brey-Et-Maison-Du-Bois"
exclue;"organisme public";21250096100017;"Mairie";84.11Z;7210;"Brey-Et-Maison-Du-Bois"
exclue;"particulier : location de son logement";34153874200022;"Michel Deniset";68.20A;1000;"Brey-Et-Maison-Du-Bois"
gardée;"";79148794500044;"Mont D'Or Paysage";81.30Z;5499;"Brey-Et-Maison-Du-Bois"
gardée;"";50502131100053;"Nadege Lambert";86.90E;1000;"Brey-Et-Maison-Du-Bois"
gardée;"";49483145600038;"Nicolet T.p. - B2m Acacia";43.12A;5499;"Brey-Et-Maison-Du-Bois"
gardée;"";91214684200014;"Podico 2r";43.99C;5710;"Brey-Et-Maison-Du-Bois"
exclue;"société civile";91121499700015;"S.c.c.v La Chouliere";41.10D;6599;"Brey-Et-Maison-Du-Bois"
exclue;"société civile immobilière";74982569100027;"S.c.i Godemet Immo";68.20B;6540;"Brey-Et-Maison-Du-Bois"
gardée;"";83924969500017;"Sas Thionnet Claude";43.22A;5710;"Brey-Et-Maison-Du-Bois"
gardée;"";89298468300011;"Sc Bois";43.32A;5499;"Brey-Et-Maison-Du-Bois"
exclue;"société civile immobilière";83998781500017;"Sci De La Petite Fontaine";68.20B;6540;"Brey-Et-Maison-Du-Bois"
exclue;"organisme public";21250096100033;"Service Bois";02.20Z;7210;"Brey-Et-Maison-Du-Bois"
exclue;"organisme public";21250096100025;"Service Eau Et Assainissement";36.00Z;7210;"Brey-Et-Maison-Du-Bois"
exclue;"société civile immobilière";90399984500014;"Simoes Bonnet";68.20B;6540;"Brey-Et-Maison-Du-Bois"
gardée;"";40901992400011;"Syndicat Pastoral";01.11Z;2900;"Brey-Et-Maison-Du-Bois"
gardée;"";80862784800019;"Alexandre Burri";01.41Z;1000;"Chapelle-Des-Bois"
exclue;"administrations et associations";79084038300018;"Alliance-Liberte";94.99Z;9220;"Chapelle-Des-Bois"
exclue;"particulier : location de son logement";80318770700010;"Anne Blondeau (pessel)";68.20A;1000;"Chapelle-Des-Bois"
gardée;"";43005070800014;"Anne-Marie Bourgeois";02.20Z;1000;"Chapelle-Des-Bois"
exclue;"organisme public";29250138400013;"Asa Des Pres Hauts";42.99Z;7321;"Chapelle-Des-Bois"
exclue;"organisme public";29250123600015;"Asa Du Mont Noir";42.99Z;7321;"Chapelle-Des-Bois"
exclue;"organisme public";29250121000010;"Asa Risoux Milieu Cives";42.99Z;7321;"Chapelle-Des-Bois"
exclue;"administrations et associations";94119686700019;"Association Des Jeunes";94.99Z;9220;"Chapelle-Des-Bois"
exclue;"organisme public";20008066100016;"Association Syndicale Autorisee Du Chalet Riton Et Des Sauges (asa)";42.99Z;7321;"Chapelle-Des-Bois"
exclue;"administrations et associations";43245631700010;"Association Tourisme Vert Et Blanc";94.12Z;9220;"Chapelle-Des-Bois"
gardée;"";88998317700011;"Au Doux Panier";47.11B;5499;"Chapelle-Des-Bois"
gardée;"";53901228600016;"Auberge De La Distillerie";55.10Z;5499;"Chapelle-Des-Bois"
exclue;"particulier : location de son logement";33424294800019;"Bernard Salvi";68.20B;1000;"Chapelle-Des-Bois"
exclue;"particulier : location de son logement";33424294800035;"Bernard Salvi";68.20B;1000;"Chapelle-Des-Bois"
gardée;"";42804918300018;"Berthe Poux";01.41Z;1000;"Chapelle-Des-Bois"
gardée;"";75233519000019;"Bertrand Pagnier";02.20Z;1000;"Chapelle Des Bois"
exclue;"organisme public";26250252900015;"Ccas";88.99B;7361;"Chapelle-Des-Bois"
gardée;"";92445711200010;"Celia Courvoisier";85.51Z;1000;"Chapelle-Des-Bois"
gardée;"";33128925600017;"Chalet Gaillard";55.30Z;9220;"Chapelle-Des-Bois"
gardée;"";81523399400020;"Chalet Gaillard";55.20Z;5499;"Chapelle-Des-Bois"
gardée;"";84268626300018;"Chalet Sport";47.64Z;5499;"Chapelle-Des-Bois"
gardée;"";34372155100012;"Christian Burri";55.20Z;1000;"Chapelle-Des-Bois"
gardée;"";31491826900023;"Christian Zedet";02.20Z;1000;"Chapelle-Des-Bois"
gardée;"";83802200200011;"Christophe Rony";02.10Z;1000;"Chapelle-Des-Bois"
gardée;"";43350735700013;"Claude Jean-Prost";02.20Z;1000;"Chapelle Des Bois"
gardée;"";79172344800019;"Claudie Franjaud (mermet)";02.10Z;1000;"Chapelle-Des-Bois"
gardée;"";80100263500010;"Daniel Mouxaux";02.10Z;1000;"Chapelle-Des-Bois"
gardée;"";41069920100076;"Daniel Pages";02.10Z;1000;"Chapelle-Des-Bois"
gardée;"";30910095600049;"Denis Bauquin";55.20Z;1000;"Chapelle-Des-Bois"
gardée;"";41772936500029;"Denis Courvoisier";01.41Z;1000;"Chapelle-Des-Bois"
gardée;"";99951736000015;"Des Murgers";01.41Z;6533;"Chapelle-Des-Bois"
exclue;"organisme public";21250121700021;"Ecole Primaire Publique";85.20Z;7210;"Chapelle-Des-Bois"
gardée;"";38423198100018;"Ecomusee De Chez Michaud";91.02Z;9220;"Chapelle-Des-Bois"
exclue;"administrations et associations";52804030600029;"Enfants Sourds Du Togo";94.99Z;9220;"Chapelle-Des-Bois"
gardée;"";45124587200028;"Eric Deniset";85.51Z;1000;"Chapelle-Des-Bois"
exclue;"particulier : location de son logement";45124587200036;"Eric Deniset";68.20A;1000;"Chapelle-Des-Bois"
gardée;"";50910448500016;"Eurl La Fromagerie Biologique De Chapelle Des Bois";47.29Z;5499;"Chapelle-Des-Bois"
gardée;"";10716236400015;"Eyeonsite";62.01Z;5710;"Chapelle-Des-Bois"
gardée;"";44491032700030;"Fanny Girod";93.19Z;1000;"Chapelle-Des-Bois"
exclue;"administrations et associations";32733519600017;"Franche Montagne";94.99Z;9220;"Chapelle-Des-Bois"
gardée;"";51200804600017;"Gaec Blondeau";01.41Z;6533;"Chapelle-Des-Bois"
gardée;"";40225052600033;"Gaec De La Combe Des Cives";01.41Z;6533;"Chapelle-Des-Bois"
gardée;"";40902009600015;"Georges Bourgeois";16.10A;1000;"Chapelle-Des-Bois"
gardée;"";40250623200014;"Georges De Laitre";02.20Z;1000;"Chapelle-Des-Bois"
exclue;"particulier : location de son logement";34016831900010;"Gerard Pagnier";68.20B;1000;"Chapelle-Des-Bois"
gardée;"";44435856800012;"Glisses Nordiques";85.51Z;9220;"Chapelle-Des-Bois"
exclue;"société civile";50933380300021;"Grange Dernier Becquet";68.20B;6534;"Chapelle-Des-Bois"
gardée;"";90044212000011;"Griffond Constant Travaux Publics";42.21Z;5499;"Chapelle-Des-Bois"
gardée;"";48760827500011;"Groupement Agricole D'Exploitation En Commun Reconnu Des Pres Hauts";01.41Z;6533;"Chapelle-Des-Bois"
gardée;"";48760827500029;"Groupement Agricole D'Exploitation En Commun Reconnu Des Pres Hauts";01.41Z;6533;"Chapelle-Des-Bois"
gardée;"";32236564400036;"Groupement Forestier Chapelle Des Bois";02.20Z;6536;"Chapelle-Des-Bois"
exclue;"société civile";95307068700017;"Groupement Forestier Du Bout Du Doubs (gf Bd)";70.10Z;6536;"Chapelle-Des-Bois"
gardée;"";32794841000045;"Groupement Forestier Du Risoux";02.20Z;6536;"Chapelle Des Bois"
gardée;"";98216017800017;"Groupement Forestier Du Risoux Du Milieu Des Cives";02.10Z;6536;"Chapelle-Des-Bois"
gardée;"";32679479900014;"Groupement Forestier Les Pres Hauts";02.40Z;6536;"Chapelle-Des-Bois"
gardée;"";40111516700025;"Groupement Forestier Mapicla";02.20Z;6536;"Chapelle Des Bois"
gardée;"";64664180300028;"Guy Mermet";02.20Z;1000;"Chapelle-Des-Bois"
exclue;"particulier : location de son logement";30519662800013;"Guy Michel";68.20B;1000;"Chapelle-Des-Bois"
gardée;"";32684564100017;"Guy Pagnier";02.20Z;1000;"Chapelle-Des-Bois"
exclue;"particulier : location de son logement";82898708100027;"Helene-Astrid Martin (bouche)";68.20A;1000;"Chapelle-Des-Bois"
gardée;"";10678913400017;"Indivision De Saintignon";02.10Z;2110;"Chapelle-Des-Bois"
gardée;"";49857719600013;"Indivision Successorale De Mrs De Laitre Charles Et Alain";02.20Z;2110;"Chapelle-Des-Bois"
gardée;"";48957733800010;"Jacques Charlot";02.20Z;1000;"Chapelle-Des-Bois"
gardée;"";42077672600010;"Jacques Maitenaz";02.20Z;1000;"Chapelle-Des-Bois"
gardée;"";77838260600029;"Jacques Montravers";02.20Z;1000;"Chapelle-Des-Bois"
gardée;"";84792858700017;"Jean Henriet";55.20Z;1000;"Chapelle-Des-Bois"
gardée;"";45099249000026;"Jean Schamelhout";02.20Z;1000;"Chapelle Des Bois"
gardée;"";48248009200014;"Jean Thouverey";02.10Z;1000;"Chapelle-Des-Bois"
gardée;"";41945406100021;"Jean-Louis Jouffroy";02.20Z;1000;"Chapelle-Des-Bois"
gardée;"";40902010400017;"Jean-Marc Cordier";01.43Z;1000;"Chapelle-Des-Bois"
gardée;"";34339867300024;"Jerome Colin";02.20Z;1000;"Chapelle Des Bois"
exclue;"société civile immobilière";90981531800011;"Josecin";68.20B;6540;"Chapelle-Des-Bois"
gardée;"";39331576700011;"Josette Herard (fagot)";02.20Z;1000;"Chapelle-Des-Bois"
gardée;"";45292865800015;"Julien Neveux";85.51Z;1000;"Chapelle-Des-Bois"
gardée;"";93022296300017;"Kiseron";71.12B;5499;"Chapelle-Des-Bois"
exclue;"administrations et associations";77813373600067;"L'Appel";94.99Z;9220;"Chapelle-Des-Bois"
exclue;"administrations et associations";92827521300017;"L'Appel Des Bois";94.99Z;9220;"Chapelle-Des-Bois"
exclue;"particulier : location de son logement";45215530200055;"La Disti";68.20A;1000;"Chapelle-Des-Bois"
gardée;"";51333449000010;"La Maison Du Montagnon";55.20Z;5499;"Chapelle-Des-Bois"
gardée;"";10189648800018;"La Ski 25";93.12Z;9220;"Chapelle-Des-Bois"
gardée;"";43017106600029;"Laurence Cordier (morisson)";55.20Z;1000;"Chapelle-Des-Bois"
à vérifier;"association ou organisme au nom d’activité ouverte au public (94.99Z)";79204351500016;"Les Amis De L Ecole";94.99Z;9220;"Chapelle-Des-Bois"
à vérifier;"association ou organisme au nom d’activité ouverte au public (94.99Z)";38391043700011;"Les Amis Du Ski De Fond";94.99Z;9220;"Chapelle-Des-Bois"
exclue;"société civile immobilière";51346932000016;"Les Batis";68.20B;6540;"Chapelle-Des-Bois"
gardée;"";82876103100016;"Les Campanelles";55.20Z;1000;"Chapelle-Des-Bois"
exclue;"société civile";52784765100025;"Les Clarines";68.20B;6599;"Chapelle-Des-Bois"
gardée;"";83881684100012;"Les Clochettes Du Risoux";55.10Z;5499;"Chapelle-Des-Bois"
gardée;"";93442926700016;"Les Paturages";56.10A;5499;"Chapelle-Des-Bois"
exclue;"particulier : location de son logement";81007825300012;"Liliane Coutou-Michel (goy)";68.20A;1000;"Chapelle-Des-Bois"
exclue;"organisme public";21250121700039;"Lotissement";42.99Z;7210;"Chapelle-Des-Bois"
gardée;"";89925315700015;"M. Et Vous";86.90F;9220;"Chapelle-Des-Bois"
exclue;"organisme public";21250121700013;"Mairie";84.11Z;7210;"Chapelle-Des-Bois"
gardée;"";78892585700021;"Marcel Michel Fils Successeurs";11.01Z;5499;"Chapelle-Des-Bois"
gardée;"";44401275100012;"Marie Bourgeois (erbs)";85.51Z;1000;"Chapelle-Des-Bois"
gardée;"";44401275100020;"Marie Bourgeois (erbs)";90.03B;1000;"Chapelle Des Bois"
gardée;"";40334938400012;"Marie Lorge";02.20Z;1000;"Chapelle-Des-Bois"
exclue;"particulier : location de son logement";39763249800010;"Marie Vermot (michel)";68.20B;1000;"Chapelle-Des-Bois"
gardée;"";80272085400016;"Marie-Josephine Boilley (collin)";02.10Z;1000;"Chapelle-Des-Bois"
gardée;"";47841555700014;"Martine Mayor Olivos (dreyfus)";02.20Z;1000;"Chapelle-Des-Bois"
gardée;"";42805077700021;"Michel Bourgeois";02.20Z;1000;"Chapelle Des Bois"
gardée;"";45293478900010;"Michel Bouveret";02.10Z;1000;"Chapelle-Des-Bois"
exclue;"particulier : location de son logement";31871123100049;"Michel Cordier";68.20A;1000;"Chapelle-Des-Bois"
gardée;"";84304904000093;"Mileade Chapelle Des Bois";55.20Z;5710;"Chapelle-Des-Bois"
gardée;"";87879454400014;"Mont Noir Sports";47.64Z;5499;"Chapelle-Des-Bois"
exclue;"administrations et associations";82989997000018;"Moose & Co";94.99Z;9220;"Chapelle-Des-Bois"
gardée;"";44533268700026;"Murielle Giacomino";85.51Z;1000;"Chapelle-Des-Bois"
gardée;"";75156063200018;"Natur Odyssee Jura";82.99Z;8490;"Chapelle-Des-Bois"
à vérifier;"société déclarée en immobilier (68.20B)";53364249200011;"Nordique Symbiose";68.20B;5499;"Chapelle-Des-Bois"
à vérifier;"association ou organisme au nom d’activité ouverte au public (94.99Z)";38858899802638;"Office Central Cooperation Ecole Doubs (occe 25)";94.99Z;9220;"Chapelle-Des-Bois"
gardée;"";77830242200010;"Petanque Club Chapelle Des Bois";93.12Z;9220;"Chapelle-Des-Bois"
gardée;"";41873062800017;"Pie Burrie";02.20Z;1000;"Chapelle Des Bois"
gardée;"";40995686900013;"Pierre Jenoudet";02.20Z;1000;"Chapelle-Des-Bois"
gardée;"";83767956200012;"Quentin Saintot";85.51Z;1000;"Chapelle-Des-Bois"
gardée;"";90054034500015;"Raphael Baud";02.10Z;1000;"Chapelle-Des-Bois"
gardée;"";80228574200028;"Roxane Lacroix";93.19Z;1000;"Chapelle-Des-Bois"
gardée;"";51277045400027;"Salome Letoublon";93.19Z;1000;"Chapelle-Des-Bois"
exclue;"société civile immobilière";40312960400019;"Sci Droseras";68.20B;6540;"Chapelle-Des-Bois"
exclue;"société civile immobilière";83887808000012;"Sci Hall";68.20B;6540;"Chapelle-Des-Bois"
exclue;"société civile immobilière";89072511200019;"Sci La Roche Champion";68.20B;6540;"Chapelle-Des-Bois"
exclue;"société civile immobilière";53430011600017;"Sci Ns And Co";68.20B;6540;"Chapelle-Des-Bois"
exclue;"société civile immobilière";84140566500016;"Seh Constructions";68.20B;6540;"Chapelle-Des-Bois"
exclue;"organisme public";21250121700047;"Service Bois";02.20Z;7210;"Chapelle-Des-Bois"
gardée;"";77830238000010;"Soc Coop Fromag Fruitiere Chapelle Bois";10.51C;6317;"Chapelle-Des-Bois"
gardée;"";77830238000036;"Soc Coop Fromag Fruitiere Chapelle Bois";10.51C;6317;"Chapelle-Des-Bois"
gardée;"";42804922500017;"Stef Bourgeois Pierre Et Jean Marie";02.20Z;2210;"Chapelle-Des-Bois"
gardée;"";79938782400011;"Stephane Binetruy";55.20Z;1000;"Chapelle Des Bois"
gardée;"";82849069800010;"Suzon Fabre";85.51Z;1000;"Chapelle-Des-Bois"
gardée;"";79208950000013;"Sylvestre Soulie";02.10Z;1000;"Chapelle Des Bois"
gardée;"";89393727600010;"Sylvie Debras";02.10Z;1000;"Chapelle Des Bois"
gardée;"";79423509300034;"Thierry Deniset";93.19Z;1000;"Chapelle-Des-Bois"
gardée;"";82762849600016;"Vertical N.g.";43.99D;5710;"Chapelle-Des-Bois"
gardée;"";45292874000029;"Yohann Neveux";85.51Z;1000;"Chapelle-Des-Bois"
exclue;"organisme public";29250124400019;"Asa Amenag Routier Pre Haut";42.99Z;7321;"Chatelblanc"
exclue;"organisme public";29250281200012;"Asa Des Serments";42.99Z;7321;"Chatelblanc"
gardée;"";79276345000014;"Association Sous La Roche";93.19Z;9220;"Chatelblanc"
gardée;"";90766083100021;"Auberge Les Enguenelles";56.30Z;5499;"Chatelblanc"
gardée;"";82206306100045;"Bergines";11.01Z;1000;"Chatelblanc"
gardée;"";78911151500019;"Bernard Crinquand";02.10Z;1000;"Chatelblanc"
gardée;"";80342613900017;"Blondeau-Patissier Tassan-Mazzocco";02.10Z;2110;"Chatelblanc"
exclue;"particulier : location de son logement";89949344900016;"Christine Tarby";68.20A;1000;"Chatelblanc"
exclue;"société civile immobilière";80006685400012;"Des Pres Parret";68.20B;6540;"Chatelblanc"
gardée;"";40414575700013;"Elisabeth Bret (fumey)";02.20Z;1000;"Chatelblanc"
gardée;"";37943552200014;"Etablissement Besancon";25.50B;5499;"Chatelblanc"
gardée;"";50909380300013;"Gaec Sous La Roche";01.50Z;6533;"Chatelblanc"
gardée;"";78938790900011;"Gilberte Michaud (guy Petet)";02.20Z;1000;"Chatelblanc"
gardée;"";37801854300017;"Groupement Agricole D'Exploitation En Commun Agree Tarby Des Essarts";01.41Z;6533;"Chatelblanc"
gardée;"";91137778600015;"Habitat Solutions Renovation";43.22B;5710;"Chatelblanc"
gardée;"";44444625600018;"Indivision Liboz";02.20Z;2110;"Chatelblanc"
gardée;"";51054213700011;"Jacqueline Coqueval (de Wazieres)";02.20Z;1000;"Chatelblanc"
gardée;"";33260030300033;"Jacques Cantrelle";02.10Z;1000;"Chatelblanc"
gardée;"";43060548500019;"Jaquet Bourgeois";01.41Z;1000;"Chatelblanc"
gardée;"";80817427000013;"Jean-Francois Rure";02.10Z;1000;"Chatelblanc"
exclue;"particulier : location de son logement";38970668000029;"Jean-Pierre Blondeau-Patissier";68.20A;1000;"Chatelblanc"
gardée;"";48199781500032;"La Pierre A Grain";85.59A;9220;"Chatelblanc"
à vérifier;"indivision au nom d’activité touristique (68.20A)";92765711400017;"Location Chatel Blanc";68.20A;2110;"Chatelblanc"
à vérifier;"société déclarée en immobilier (68.20B)";92029921100010;"Locations La Combille";68.20B;5499;"Chatelblanc"
gardée;"";82468037500014;"Lore Dumont";32.99Z;1000;"Chatelblanc"
exclue;"organisme public";21250131600013;"Mairie";84.11Z;7210;"Chatelblanc"
gardée;"";48960472800027;"Martine Gaudey (taillard)";02.20Z;1000;"Chatelblanc"
gardée;"";44987188800011;"Martine Vuitton (doudier)";02.10Z;1000;"Chatelblanc"
gardée;"";92223754000013;"Melisa Parra Bolayir";90.03A;1000;"Chatelblanc"
gardée;"";31724520700061;"Philippe Mareuil";02.10Z;1000;"Chatelblanc"
gardée;"";84022379600029;"Pierre Rolet";02.10Z;1000;"Chatelblanc"
gardée;"";49838875000016;"Pintat Renaud";43.39Z;1000;"Chatelblanc"
gardée;"";90820557800010;"Plomberie Et Chauffage Aquino";43.22A;5710;"Chatelblanc"
gardée;"";39898618200010;"Raymond Bourgeois-Jacquet";02.20Z;1000;"Chatelblanc"
gardée;"";39326022900017;"Refuge Des Pres D'Haut";55.20Z;1000;"Chatelblanc"
à vérifier;"entrepreneur à enseigne déclaré en immobilier (68.20A)";49838875000024;"Renaud Pintat (pintat Renaud)";68.20A;1000;"Chatelblanc"
gardée;"";47934098600013;"Samuel Hatri";43.22B;1000;"Chatelblanc"
exclue;"société civile immobilière";92030273400016;"Sci B2mj";68.20B;6540;"Chatelblanc"
exclue;"organisme public";21250131600021;"Service Eau Et Assainissement";36.00Z;7210;"Chatelblanc"
à vérifier;"entrepreneur à enseigne déclaré en immobilier (68.20A)";90328110300031;"Sophie Paget (barthod-Malat)";68.20A;1000;"Chatelblanc"
gardée;"";99170619300018;"Tassan Electricite";43.21A;5710;"Chatelblanc"
exclue;"administrations et associations";82491078000017;"Terre En Main";94.99Z;9220;"Chatelblanc"
gardée;"";83912740400011;"William Trachsel";02.10Z;1000;"Chatelblanc"
gardée;"";41816125300012;"Yves Bourgeois-Jacquet";02.20Z;1000;"Chatelblanc"
gardée;"";31189335800029;"Yves Jacquier";55.10Z;1000;"Chatelblanc"
exclue;"société civile immobilière";10587350900019;"A.l.t Vercasson";68.20B;6540;"Chaux-Neuve"
gardée;"";42804859900024;"Alain Bourgeois";55.20Z;1000;"Chaux-Neuve"
gardée;"";83485706200014;"Amandine Ancey";02.10Z;1000;"Chaux-Neuve"
gardée;"";51041542500014;"Andre Cordier";02.20Z;1000;"Chaux-Neuve"
gardée;"";31153268300043;"Animation Rurale Touristique Mont D Or";93.19Z;9220;"Chaux-Neuve"
gardée;"";87972227000011;"Anne-Claire Cuenet (pagnier)";02.10Z;1000;"Chaux-Neuve"
gardée;"";48105740400016;"Anne-Marie Lorillou (pagnier)";02.20Z;1000;"Chaux-Neuve"
gardée;"";89780981000012;"Antoine Aubert";93.19Z;1000;"Chaux-Neuve"
exclue;"organisme public";29250183000015;"Asa Du Cernois-Veuillet";42.99Z;7321;"Chaux-Neuve"
exclue;"organisme public";29250133500015;"Asa Du Chalet Brule";42.99Z;7321;"Chaux-Neuve"
gardée;"";39315178200033;"Ass Entreprise Insertion Pontissalienne (eppi)";55.20Z;9221;"Chaux-Neuve"
exclue;"administrations et associations";34791529000014;"Ass Familiale Rurale Des 4 Villages (afr)";94.99Z;9220;"Chaux-Neuve"
exclue;"administrations et associations";33149605900014;"Ass Touris Chaux Neuve Chatelb";94.99Z;9220;"Chaux-Neuve"
exclue;"administrations et associations";38975535600018;"Association Des Amis De Chaux Neuve";94.99Z;9220;"Chaux-Neuve"
exclue;"administrations et associations";51339129200010;"Association Du Site Nordique International De Chaux-Neuve";94.99Z;9220;"Chaux-Neuve"
gardée;"";80824614400014;"Association Galopados";93.19Z;9220;"Chaux-Neuve"
gardée;"";79086686700019;"Auberge Du Grand Git";55.10Z;5499;"Chaux-Neuve"
gardée;"";48093391000014;"Bernadette Bourgeois (pagnier)";02.10Z;1000;"Chaux-Neuve"
exclue;"particulier : location de son logement";32513461700027;"Bruno Fragniere";68.20B;1000;"Chaux-Neuve"
exclue;"particulier : location de son logement";32513461700035;"Bruno Fragniere";68.20A;1000;"Chaux-Neuve"
exclue;"administrations et associations";53163703100018;"Cap Faune";94.99Z;9220;"Chaux-Neuve"
gardée;"";31523731300020;"Catherine Bonjean (socie)";02.20Z;1000;"Chaux-Neuve"
exclue;"organisme public";21250142300090;"Chaufferie Bois";35.30Z;7210;"Chaux-Neuve"
gardée;"";34902377000010;"Chaux Neuve Accueil";55.20Z;9220;"Chaux-Neuve"
gardée;"";79522314800011;"Chez Nous";87.90B;9220;"Chaux-Neuve"
exclue;"particulier : location de son logement";92062206500018;"Chloe Maraux (malenfer)";68.20A;1000;"Chaux-Neuve"
gardée;"";33245930400025;"Christophe Favrot";02.10Z;1000;"Chaux-Neuve"
gardée;"";48100093300012;"Colette Bourgeois (pagnier)";02.20Z;1000;"Chaux-Neuve"
gardée;"";48100093300020;"Colette Bourgeois (pagnier)";02.10Z;1000;"Chaux-Neuve"
gardée;"";52166509100018;"Colette Favrot (voynnet)";02.20Z;1000;"Chaux-Neuve"
gardée;"";93785328100015;"Cps Assistante Administrative";82.19Z;1000;"Chaux-Neuve"
gardée;"";34884129700024;"Cuma Du Val De Mouthe";77.31Z;6316;"Chaux-Neuve"
gardée;"";77831830300030;"Denis Robbe";02.10Z;1000;"Chaux-Neuve"
à vérifier;"société déclarée en holding ou siège social (70.10Z)";75219893700027;"Dfl";70.10Z;5710;"Chaux-Neuve"
gardée;"";44525302400019;"Earl Le Pre Maitre Jean";01.41Z;6598;"Chaux-Neuve"
gardée;"";50269600800015;"Emmanuel Mouterde";02.20Z;1000;"Chaux-Neuve"
gardée;"";88452769800010;"Etienne D'Orival";02.10Z;1000;"Chaux-Neuve"
gardée;"";81198631400029;"Fabien Faivre";16.24Z;1000;"Chaux-Neuve"
gardée;"";92287776600019;"Fabrice Epenoy";55.20Z;1000;"Chaux-Neuve"
gardée;"";99042190100010;"Fan-Club Josephine Pagnier";93.12Z;9220;"Chaux-Neuve"
gardée;"";44804374500026;"Farid Benatia";74.10Z;1000;"Chaux-Neuve"
exclue;"administrations et associations";40971172800017;"Federation Selectionneurs Bovins";94.99Z;9220;"Chaux-Neuve"
gardée;"";90097052600019;"Gaec Des Champs Fleuris";01.41Z;6533;"Chaux-Neuve"
gardée;"";47911995000018;"Garage Fragniere";45.20A;5499;"Chaux-Neuve"
gardée;"";49309033600022;"Groupement Agricole D'Exploitation En Commun Reconnu Des Cotes";01.41Z;6533;"Chaux-Neuve"
exclue;"administrations et associations";35280918000024;"Groupement Touristique Du Doubs";94.99Z;9220;"Chaux-Neuve"
gardée;"";90823125100194;"Guy 1";35.11Z;5499;"Chaux-Neuve"
gardée;"";45267443500030;"Herve Marchal";55.20Z;1000;"Chaux-Neuve"
gardée;"";84412354700029;"Hotel Les Tremplins - Restaurant La Table Du Cebriot";56.10A;5499;"Chaux-Neuve"
gardée;"";94454175400015;"Ind Bitur Annabel";55.20Z;2110;"Chaux-Neuve"
gardée;"";95037607900022;"Jacqueline Beaufils (poux)";02.20Z;1000;"Chaux-Neuve"
gardée;"";38139126700014;"Jacques Pagnier";01.62Z;1000;"Chaux-Neuve"
gardée;"";51459514900014;"Jean-Marie Vuillaume";02.20Z;1000;"Chaux-Neuve"
exclue;"particulier producteur d’énergie";98163710100016;"Jerome Febvre";35.11Z;1000;"Chaux-Neuve"
exclue;"particulier producteur d’énergie";45381402200027;"Joel Pagnier";35.11Z;1000;"Chaux-Neuve"
gardée;"";79387852100012;"Joseph Scalabrino";88.10A;1000;"Chaux-Neuve"
gardée;"";89938960500010;"Josephine Pagnier";93.19Z;1000;"Chaux-Neuve"
à vérifier;"société déclarée en holding ou siège social (64.20Z)";83091336400014;"Juradoubs";64.20Z;5710;"Chaux-Neuve"
gardée;"";91221452500012;"L'Aiguille Sous Rauch";95.29Z;1000;"Chaux-Neuve"
gardée;"";42178393700012;"L'Odyssee Blanche";91.04Z;5499;"Chaux-Neuve"
exclue;"société civile immobilière";52425945400014;"La Loge Du Tremplin";68.20B;6540;"Chaux-Neuve"
gardée;"";53201001400027;"Langel Fils";02.40Z;5499;"Chaux-Neuve"
